4O6AH,JN92PL
N6OVP,CM87
N6RMJ,DM25RE
N6RZJ,CM99ER
N6VMO,CM94SQ
N6WS,CM95RA
N7AM,CN87QO
N7GP,DM42DW
N8CQ,EM96
N8DJB,EN81FJ
N9HF,EL99JF
N9JIM,CM87XI
NA4N,FM18
NA6E,DM35CE
NC1I,FN32OB
NQ7B,DM42OO
NT6V,CM87UV
NX9O,EM84AO
NY1V,EM69TS
NY2Z,FN02LA
OE3FVU,JN78VE
OE3JPC,JN87EW
OE5JFL,JN68MG
OE5VRL,JN78DK
OE9ERC,JN47VL
OE9GLV,JN47VL
OF1LRY,KP11AE
OG6B,KP20XW
OH1LRY,KP11AE
OH2AXH,KP20OK
OH2DG,KP30CK
OH3DP,KP10TT
OH3LWP,KP11XK
OH3MCK,KP11WL
OH6NVQ,KP13IP
OJ0EME,JP90NH
OK1CA,JO70GM
OK1CS,JO70FD
OK1DFC,JN79FW
OK1DST,JN79EX
OK1IL,JN69XS
OK1KIR,JN79DW
OK1TEH,JO70FD
OK1UGA,JO80CF
OK1USW,JN69SN
OK1YK,JN79ge
OK2AQ,JN89EU
OK2DL,JN79WL
OK2KJT,JN99AJ
OK2PE,JN99CI
OK2ULQ,JN99CN
OK3RM,JN69MS
OK8WW,JN79DV
OM1TF,JN88NF
OM4XA,JN98EO
OM6AA,JN99LB
ON0EME,JO21JG
ON4AOI,JO21BA
ON4BCB,JO21HC
ON4BCV,JO21JI
ON4BHM,JO21BE
ON4LX,JO10SX
ON4QQ,JO20HV
ON5GS,JO21SC
ON5RR,JO20CX
ON6JY,JO20VP
ON7FLY,JO10LT
ON7UN,JO21NG
OY3JE,IP62OA
OZ1CTZ,JO46OE
OZ4MM,JO55GH
OZ5TG,JO45VW
OZ6OL,JO65DJ
OZ9KY,JO57GG
PA0BAT,JO31FX
PA0HRK,JO22DC
PA0PLY,JO32LR
PA0TBR,JO21SL
PA100THALE,JO31FX
PA1PS,JO21UX
PA2CHR,JO32DB
PA2DW,JO22GD
PA2GWA,JO22JR
PA3CQE,JO21PL
PA3CSG,JO21WD
PA3DZL,JO21LS
PA3FXB,JO33KC
PA3HDG,JO31BU
PA3JRK,JO33AF
PA7JB,JO22MD
PA9RX,JO32BW
PE1CHQ,JO22XG
PE1DAB,JO23RD
PE1HNG,JO30AT
PE1LWT,JO22VA
PE2TV,JO32GH
PH0V,JO22JP
PH3V,JO21GM
PI4Z,JO11WM
PI9CAM,JO32ET
PI9CM,JO22VA
PJ2BR,FK52MD
PY1UNU,GG87MP
PY2ANE,GG66SH
PY2BS,GG66PJ
PY2MJ,GG66RI
R1NW,KP71HU
R1NW,KP71HU
R4YM,LO36OD
RA0ACM,NO76
RA2FGG,KO04GT
RA3AQ,KO85JE
RA3AUB,KO84QP
RA3DGP,KO95FO
RA3EC,KO82PT
RA3EME,KO72PI
RA3IS,KO76WU
RA4HL,LO43FD
RA9FLW,LO88FD
RC3D,KO75WS
RD3DA,KO84TF
RD4D,LO32VA
RD9SAC,LO91DH
RG3R,LO03VK
RJ3DC,KO95AR
RK3T,LO61QW
RK4CR,LO21MA
RN3A,KO85NU
RN3DCF,KO95CN
RN3DKE,KO85RV
RN4AT,LN20LA
RN6MA,LN06UQ
RT6DH,KN94SJ
RU3ACE,KO85KG
RU4AN,LO20QG
RU4HU,LO43OM
RW0LDF,PN74VJ
RW3AG,KO85PO
RW3BP,KO85WS
RW3PX,KO84
RW3TY,LO26AH
RW3WWF,KO72QI
RW4HW,LO43QM
RW6AG,KN95NA
RW9FLW,LO88FD
RX6AIA,KN95LB
S50C,JN76JG
S51ZO,JN86DR
S53MM,JN76GD
S57Q,JN76PA
S57SU,JN76EF
S59DCD,JN76NL
SA6BUN,JO78CP
SK0CT,JO99BM
SK0UX,JO99BM
SM0ERR,JO89WJ
SM2CEW,KP15CR
SM2LKW,KP15BO
SM3JQU,JP82QM
SM4DHN,JP60VD
SM4GGC,JO69RK
SM4IVE,JO79SD
SM5DGX,JO89NV
SM6CKU,JO67CK
SM6FHZ,JO67AQ
SM6PGP,JO67BK
SM7FWZ,JO77EQ
SM7GEP,JO77IP
SN7D,JO91UT
SP2HMR,JO94GH
SP2SCQ,JO94FN
SP3XBO,JO81XR
SP3YDE,JO82UM
SP4MPD,KO03HT
SP5GDM,KO02MM
SP6GWN,JO80GL
SP6ITF,JO81LB
SP6JLW,JO80JK
SP7DCS,JO91RT
SP7EXY,KO00QV
SP7VC,JO91SS
SP8RHP,KO10FF
SP9VFD,JN99XN
SQ2SAT,JO83XG
SV1BTR,KM18NO
SV1CAL,KM17
SV1DNU,KM18VB
SV1OAA,KM27DP
SV3AAF,KM17KO
SV8CS,KM07JS
SV8KOU,KM07KR
TO1Q,FK96HG
UA1CCU,KP60SR
UA1OEJ,KP94VN
UA3MBJ,KO87QV
UA3PTW,KO93BS
UA4AAV,LO21FD
UA4LCF,LO44EH
UA5Y,KO72PI
UA6AH,KN94BU
UA6LCN,KN97KF
UA9FA,LO87DX
UA9FAD,LO88AA
UA9FEM,LO78UB
UA9UHN,NO33HU
UA9UPI,NO25OK
UA9YLU,MO92HX
UB4UAA,LO24OG
UD2F,KO04HR
UN6PD,MN69JM
UN7GK,MN83LJ
UN7PDP,MN69JM
VA3ELE,FN03DM
VA3TO,FN03BI
VA6EME,DO44UK
VA7MM,CN89OG
VE2UG,FN35GS
VE2ZAZ,FN25BK
VE3KRP,EN58IJ
VE3NXK,FN05NS
VE4MA,EN19LU
VE4MA/K7,DM43FK
VE4SA,EN19LU
VE5KKZ,DO51PD
VE6BGT,DO32FK
VE6TA,DO33GS
VE7ZD,CN79MP
VK1VP,QF44NR
VK2AMS,QF68FC
VK2CBD,QF56SV
VK2DVZ,QF68GD
VK2JDS,QF46PV
VK2MER,QF55MW
VK3AQD,QF33IK
VK3NFI,QF31ES
VK3NX,QF21CT
VK3NXK,FN05N§
VK3VJP,QF12WL
VK3VJP/p,QF12WL
VK3WRE,QF31GT
VK4CDI,QG52XH
VK4FB,QG62NI
VK4TL,QH22OV
VK4UV,QG62LJ
VK5FA,PF95ID
VK5MC,QF02EJ
VK6EME,QF78XC
VK6KCC,OF78WD
VK7MO,QE37PC
VP8EME,GD08ME
W1AIM,FN34U
W1LY,FN41HM
W1PV,FN20JQ
W1VK,FM17
W2HRO,FN20NH
W2LPL,FN20SK
W2NNN,FN20RN
W2ZQ,FN20OG
W3CJK,FN41HM
W3HMS,FN10MF
W3HZU,FN10PA
W3IPA,EN91SE
W3SZ,FN10WH
W4AF,FM18KT
W4HTB,EM66TX
W4OP,EM85MM
W4SM,FM08QA
W5AFY,EM04ID
W5GLD,EM15AU
W5LUA,EM13QC
W6TCP,CM97EQ
W6YX,CM87WJ
W7IUV,DN07DG
W7JM,DM46KH
W7JW,EN82FJ
W7MEM,DN17NT
W7QX,DM44AR
W7UPF,DM42
W8ATH,EN80
W8MQW,EN72UR
W9IIX,EN61DR
W9ZIH,EN51NV
WA2FGK,FN21df
WA3GFZ,FM29GV
WA3QPX,FM29DI
WA3RGQ,EL98EB
WA4NJP,EM84DG
WA5WCP,EM12JO
WA6KBL,CM97AG
WA6PY,DM13LA
WA9FWD,EN53XB
WA9OUU,EM89
WB2BYP,FN13IB
WB7ABP,CM88
WB8HRW,EM88AV
WD1V,FN42
WD5AGO,EM26BD
WK9P,EN61VQ
WR8AA,FM09PG
WX4F,EM96S
XE1XA,EK09IJ
YB2MDU,OI53KD
YL2FZ,KO37QI
YL2GD,KO37ML
YL3AEV,KO27EU
YO2BCT,KN05PS
YO2LEL,KN05OS
YO3DDZ,KN34AN
YO5AXB,KN17TQ
YO5BIN,KN17WW
YO5TP,KN16SS
YO8BCF,KN36
YO8RHI,KN37SD
YT1AR,KN03HR
YU1SAN,KN03VE
ZL1NJR,RF72PG
ZL1WN,RF73HG
ZL3RC,RE66FL
ZS1LS,JF96FD
ZS1TA,JF95FX
ZS4A,KG41DS
ZS4TX,KG30BX
ZS6JON,KG33VV
ZS6WAB,KG46RC
